color,species,total_length_(cm),total_weight_(g),defect,image
Medium,Loligo,11.3,69.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b199d1c4-e97d-4f69-a008-e49ce1abc8ea.jpg
Dark,Loligo,9.5,41.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/8141d153-986d-4de9-9a2d-3ca2f129ac2a.jpg
Dark,Loligo,10.0,31.0,"['Skinless', 'Headless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/e01bcac8-cadd-43ca-86de-7a29644c641d.jpg
Medium,Loligo,9.0,40.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/feec79bd-c405-499b-ab88-3df173885991.jpg
Medium,Loligo,11.5,57.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/97cb6935-7e17-4841-a87e-319d2f419770.jpg
Medium,Loligo,10.0,57.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/338afc68-307f-4d3c-a154-d84df8f90ee5.jpg
Medium,Loligo,12.0,74.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b1899a09-332d-4a0f-bb09-c69d0355f2ca.jpg
Dark,Loligo,11.5,60.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/66b407af-ac42-41c5-8313-409156c3badf.jpg
Dark,Loligo,10.0,47.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/739b7243-4d7d-4ed2-bda9-64b428fb4d25.jpg
Medium,Loligo,10.0,43.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/31825908-4d03-4d82-a6c2-9b01e5785916.jpg
Dark,Loligo,9.3,39.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/ed03296f-0712-4a7f-9fa7-652f9846934d.jpg
Dark,Loligo,10.3,43.0,['Headless'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/ef9378e6-bfea-482b-b5b1-45e9bc1a2f3e.jpg
Medium,Loligo,9.0,37.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/e48b89b0-57cf-415a-9394-9e52ff6a5f10.jpg
Medium,Loligo,11.5,62.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b4509179-9275-46ae-b69d-1a55baed1d87.jpg
Medium,Loligo,10.0,47.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/8719dc78-cbce-4fbe-a1ea-da260169e7f9.jpg
Dark,Loligo,8.5,34.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/dd5a470b-2697-45ea-a960-c53b633d9d94.jpg
Medium,Loligo,8.0,17.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/08ae0b77-a098-4afc-a534-2b116ecb4a76.jpg
Dark,Loligo,9.5,48.0,"['Partial Tube', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/081e92d0-3f1f-4fa2-936c-54d2bd6c9ae2.jpg
Medium,Loligo,10.2,50.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/9c72ebbe-8066-4010-9496-76b64e20edf4.jpg
Dark,Loligo,10.5,30.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/836297aa-1dd3-4482-9f26-23d7fc06f78b.jpg
Medium,Loligo,12.5,79.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b074007d-7ca0-4864-9c39-334057af40c1.jpg
Dark,Loligo,12.0,52.0,['Headless'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/d63a9d5c-77ba-4b82-a50d-0565c6c33a84.jpg
Medium,Loligo,10.7,55.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/e6fc0ccf-c69b-429f-b33a-d1f8e00926c0.jpg
Medium,Loligo,10.1,47.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/ea56adab-a70f-4fa8-ba85-3df935563daa.jpg
Dark,Loligo,9.5,45.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/5781b098-b254-45f0-b931-8bf53a2a44b8.jpg
Medium,Loligo,11.7,52.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b93785e4-93d3-45fa-b93f-9d5cfac44f0c.jpg
Medium,Loligo,13.0,84.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/ed7d7e87-b76f-4d8b-bea1-6e53c1294eb3.jpg
Dark,Loligo,12.3,77.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/361022a3-2990-4f2b-a421-59d8b29c5ae3.jpg
Medium,Loligo,11.8,69.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/3321ba3d-9fb9-4339-8e69-3b4383e8281a.jpg
Medium,Loligo,10.5,35.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/541c78eb-cebd-4eb9-9bf3-f165f042e534.jpg
Medium,Loligo,10.2,53.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/a8edc9a4-f323-42a1-9afa-606b8e3aafbb.jpg
Medium,Loligo,10.5,61.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/cef62480-4856-4487-95b1-115e10273af8.jpg
Medium,Loligo,11.5,61.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/3911acac-b20c-4464-8220-c8634928ddbd.jpg
Medium,Loligo,10.2,48.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/aa288deb-b6d0-4402-a232-01625b4d9121.jpg
Medium,Loligo,10.5,60.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/f836cb9b-e8fb-4bd0-8675-df01d87b2ff4.jpg
Medium,Loligo,13.2,52.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b408a6e2-b36e-4f3f-8889-46f1a8e94c6d.jpg
Medium,Loligo,12.5,76.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/316832a1-9e84-4578-92a9-3e2e7de88e2e.jpg
Dark,Loligo,10.5,47.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/c224ca2b-da07-46ac-89b3-adf9d5adf9b9.jpg
Medium,Loligo,12.5,70.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/d686a645-7140-41f1-8334-2fdf007b1da2.jpg
Medium,Loligo,14.5,95.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/6c362e22-9623-4772-8f4f-534c47ee6dec.jpg
Medium,Loligo,9.2,41.0,"['Whole', 'Skinless', 'Partial Tube']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/244555e0-3059-40aa-85d4-c85f7cd9ac20.jpg
Dark,Loligo,8.5,33.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/f24df574-9544-423a-b63d-7e14053b0e77.jpg
Medium,Loligo,10.0,49.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/aae0ec4b-bc07-43d9-8096-428b50e23af5.jpg
Dark,Loligo,12.2,84.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/a08f73ab-ffc3-44f3-afe3-f571db5d70db.jpg
Medium,Loligo,10.7,56.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/27fdcb54-0a24-4dc6-9081-e74804437061.jpg
Medium,Loligo,11.5,78.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/44fecead-0f08-42ac-8f09-f03b296d6fbd.jpg
Light,Loligo,9.5,48.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/ec1db347-d194-4f59-8105-a71a85a08add.jpg
Medium,Loligo,12.2,61.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/150f0cba-db45-4a0e-a693-11ddc03da9a8.jpg
Medium,Loligo,11.0,62.0,"['Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/0c0c4932-9bc7-4666-af6f-c9c17fc716a0.jpg
Medium,Loligo,10.0,47.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/d69a252b-8732-4eab-a70b-08a43aaafa00.jpg
Medium,Loligo,10.2,45.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/8e421a35-295f-46c8-ac8a-147bdc89b644.jpg
Medium,Loligo,10.0,43.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/a77e553d-b1cb-45d1-af97-8b784aeba35a.jpg
Medium,Loligo,11.0,66.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/8581def7-511f-4436-85d2-8f1d8f7f6a61.jpg
Dark,Loligo,9.6,41.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/f57117be-7c12-4537-a072-9b6c611e90b2.jpg
Light,Loligo,11.0,61.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/abb52e5d-1d0e-494d-bef1-e0b9cb7c6f2f.jpg
Light,Loligo,14.2,99.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/9b639797-0cc2-4455-ada8-dd3747f842ff.jpg
Light,Loligo,14.0,95.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/cc68fd77-9008-42a9-bbee-44b69a3ccce4.jpg
Light,Loligo,11.0,55.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/c911c9e2-56ba-4d2d-b75f-34eb21512f3f.jpg
Light,Loligo,8.0,19.0,"['Whole', 'Headless', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/6fc23dfc-f519-4b71-85e4-fd5cb9d5176c.jpg
Dark,Loligo,11.0,39.0,"['Whole', 'Headless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/0a9399f7-4655-4d07-9749-8ffd369400c5.jpg
Light,Loligo,11.0,63.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/db564f5e-d8df-48aa-9fe8-cae1c84d423b.jpg
Light,Loligo,13.2,82.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/c5a65afc-d465-4e9c-a13a-1360287feff8.jpg
Medium,Loligo,13.2,100.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/e36e09e2-7202-4523-bb2e-8655244af256.jpg
Dark,Loligo,8.5,37.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/c6468b43-abfd-4dd5-9fcf-9a122316269d.jpg
Light,Loligo,12.2,71.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/0cb449fa-a54f-4c08-ac20-59178671a37b.jpg
Medium,Loligo,14.2,87.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/efbfdb9d-00cb-4b56-87e2-850bb581ebe7.jpg
Medium,Loligo,11.5,69.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/1fe1fcd4-8ae5-4aee-8bc6-6570ad0f5b38.jpg
Medium,Loligo,9.5,39.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/1b1c7076-5fde-4498-825c-e45a79e00d71.jpg
Medium,Loligo,11.0,56.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/edec80ad-fe6c-4ff1-a17a-04aed4bc71e6.jpg
Light,Loligo,10.0,34.0,"['Whole', 'Headless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/4b6865d7-e8e7-4343-97ed-ae2d6f1767a4.jpg
Light,Loligo,10.0,46.0,"['Whole', 'Partial Tube', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/b4d97163-59b5-428e-b73b-b5e4759334f7.jpg
Light,Loligo,11.5,67.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/4/tallyvision_qc/1abcb956-c4df-4238-bbaa-1a55ab7b8aef.jpg
Dark,Loligo,14.1,110.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/aa669ea5-911c-4cd0-b4c7-878d41ff9795.jpg
Light,Loligo,16.1,121.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/a226db73-8e0a-4c6c-a4bf-6f3411594311.jpg
Light,Loligo,6.0,12.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/6fac1921-67f0-4c4a-865f-6701c12f989b.jpg
Light,Loligo,18.5,179.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/022ac67a-94b2-4460-ac1f-1137d7bf37b4.jpg
Light,Loligo,10.4,55.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/49013ea8-f921-4a13-8ef5-b01a555d4fcd.jpg
Light,Loligo,15.5,108.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/2315cee9-1894-4c27-9eca-cebb09f993b2.jpg
Light,Loligo,21.0,196.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/e8a6a6b2-b3b7-452c-8884-7ed304d65c43.jpg
Light,Loligo,17.0,124.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/6e96da6f-1761-464d-a26b-26f4d7e77b15.jpg
Light,Loligo,17.2,141.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/1c7f8642-d0f2-44e7-b877-5e62f60f0623.jpg
Light,Loligo,18.0,137.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/51fea88e-3a55-452f-bd44-2518eeb48cdb.jpg
Light,Loligo,19.5,172.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/2577d6e8-225f-4bf9-bb2f-b12f8980c0f1.jpg
Medium,Loligo,14.0,89.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/4ee1ff2c-242b-43aa-a185-ab125090b3b4.jpg
Light,Loligo,16.2,111.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/abe6d883-a547-43e3-b2da-054973b1678f.jpg
Light,Loligo,15.5,116.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/2266a12b-5caf-4a77-8184-45d1c44cef89.jpg
Light,Loligo,19.5,156.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/7d00f1ce-357b-4c3a-b99b-2b7de02a2615.jpg
Light,Loligo,13.5,101.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/65ccc4be-a106-4d5c-9d8c-bd93d1ff84cd.jpg
Medium,Loligo,13.5,88.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/d3e1f97b-5d67-42c4-b5d6-1a0511f6c7d6.jpg
Light,Loligo,13.2,93.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/bd5babba-0b0a-4b65-a8ff-302d952b99d2.jpg
Light,Loligo,17.5,128.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/bc45bb2a-73eb-485f-bcdc-e457de88da3a.jpg
Light,Loligo,18.8,171.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/82457b8a-0ae3-4640-a22c-10594c229343.jpg
Light,Loligo,16.0,135.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/83508e18-7fa1-4ea9-866c-f9fff203e4ae.jpg
Light,Loligo,16.0,120.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/f5272808-24bb-41a3-b446-be6f1fbb8fae.jpg
Light,Loligo,15.8,109.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/1d1d602e-1cae-43f7-bd3b-2eadf18b5a78.jpg
Light,Loligo,16.2,117.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/4702976d-fc61-4da2-b4e9-5fcb0410c021.jpg
Light,Loligo,18.5,148.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/615babe3-fad3-4c02-b78d-2692d5f9d704.jpg
Medium,Loligo,14.5,97.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/3/tallyvision_qc/86d39247-0230-4595-b7bf-196da82ef023.jpg
Dark,Loligo,15.0,108.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/8e1808e1-a9d1-4819-8ace-79ba8882d68c.jpg
Dark,Loligo,16.7,150.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/8fae95da-373c-4197-b55b-f8305f7acd0b.jpg
Medium,Loligo,14.2,110.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/1ef0fcbf-1de3-42c5-9f9c-f9d5280141d9.jpg
Dark,Loligo,13.0,80.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/d741cb3f-67b1-4e4a-9032-c9dcdb34c35d.jpg
Light,Loligo,17.2,123.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/4447092b-b46c-4aa4-b5b6-0b5b37c21f4f.jpg
Dark,Loligo,13.0,87.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/2a854c1c-e754-4e5b-9927-66c1ce78ac02.jpg
Light,Loligo,20.2,172.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/7e26d857-7756-4b04-83c0-c02f2176490a.jpg
Medium,Loligo,21.5,192.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/a3d50d7e-57d4-470c-910f-8984230d97cf.jpg
Light,Loligo,17.0,156.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/63ae8b4e-922f-466e-b6d5-a7dbb0815127.jpg
Light,Loligo,16.3,143.0,['Whole'],https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/6bf197fd-483f-4cb4-972c-1be1839483f1.jpg
Medium,Loligo,8.0,41.0,"['Whole', 'Skinless']",https://storage.googleapis.com/upload-raw-images/tallyvision-camera-08/2025/4/2/tallyvision_qc/220feebe-1c1d-4071-8ed4-902ddc775145.jpg
